timestamp,user_id,action,course_id,system_response
2025-03-10 11:45:00,U157,Complete,C77,Redirect
2025-03-10 17:56:37,U815,Complete,C199,Success
2025-03-10 09:53:01,U726,Complete,N/A,Redirect
2025-03-09 23:00:31,U548,Page Visit,N/A,Timeout
2025-03-10 09:23:10,U106,Logout,C300,Success
2025-03-10 01:39:19,U322,Logout,N/A,Redirect
2025-03-10 02:24:44,U171,Logout,C86,Success
2025-03-10 13:28:23,U210,Complete,N/A,Failure
2025-03-10 00:45:29,U333,Page Visit,C213,Success
2025-03-10 08:35:33,U339,Page Visit,C125,Success
2025-03-10 06:51:17,U727,Review,C194,Timeout
2025-03-10 20:47:07,U484,Complete,C136,Success
2025-03-10 08:21:43,U861,Logout,C477,Failure
2025-03-10 13:11:17,U803,Enroll,C234,Timeout
2025-03-10 22:00:03,U887,Page Visit,C266,Timeout
2025-03-10 14:50:46,U936,Click,C301,Timeout
2025-03-10 12:12:05,U455,Page Visit,C491,Redirect
2025-03-10 17:41:17,U97,Enroll,C244,Timeout
2025-03-10 16:59:09,U302,Review,C272,Redirect
2025-03-10 04:09:35,U332,Page Visit,C480,Failure
2025-03-10 05:15:42,U648,Logout,C441,Timeout
2025-03-10 17:24:48,U740,Page Visit,C350,Redirect
2025-03-10 22:00:45,U903,Page Visit,C448,Failure
2025-03-10 02:51:11,U42,Click,C493,Timeout
2025-03-10 05:27:02,U315,Complete,N/A,Failure
2025-03-09 23:37:37,U915,Page Visit,C489,Failure
2025-03-10 02:53:14,U209,Review,C474,Success
2025-03-10 18:26:11,U575,Click,N/A,Success
2025-03-10 15:21:49,U447,Click,N/A,Success
2025-03-10 12:30:20,U187,Page Visit,N/A,Failure
2025-03-09 23:29:31,U932,Click,N/A,Success
2025-03-10 11:51:56,U390,Logout,N/A,Success
2025-03-10 11:07:37,U997,Complete,C362,Timeout
2025-03-10 17:41:44,U635,Review,C169,Success
2025-03-10 05:31:51,U352,Logout,C172,Redirect
2025-03-10 17:42:29,U304,Page Visit,C120,Timeout
2025-03-10 21:17:55,U944,Search,C90,Failure
2025-03-10 11:05:25,U82,Click,C248,Failure
2025-03-10 10:08:57,U420,Page Visit,C407,Success
2025-03-10 06:10:39,U372,Complete,C138,Redirect
2025-03-10 19:38:23,U21,Search,C394,Timeout
2025-03-10 03:57:52,U225,Page Visit,N/A,Timeout
2025-03-10 05:59:00,U891,Complete,C134,Redirect
2025-03-10 11:33:27,U448,Click,C454,Failure
2025-03-10 01:44:47,U138,Click,C283,Success
2025-03-10 04:05:39,U590,Enroll,C224,Failure
2025-03-10 14:01:22,U777,Enroll,N/A,Success
2025-03-10 14:11:25,U937,Click,C391,Redirect
2025-03-10 15:52:12,U773,Click,C2,Success
2025-03-10 04:11:57,U500,Enroll,N/A,Timeout
2025-03-10 19:08:42,U916,Review,C444,Redirect
2025-03-10 16:43:41,U781,Search,C50,Success
2025-03-10 04:04:07,U514,Enroll,C246,Success
2025-03-09 22:54:25,U787,Page Visit,C79,Redirect
2025-03-10 07:08:36,U376,Logout,C172,Failure
2025-03-10 09:05:39,U735,Click,C474,Failure
2025-03-10 09:52:12,U116,Click,C256,Success
2025-03-10 07:43:31,U189,Review,C17,Failure
2025-03-10 06:38:51,U739,Review,C208,Success
2025-03-10 00:52:05,U930,Review,C434,Success
2025-03-09 23:58:49,U663,Complete,C307,Success
2025-03-10 06:41:46,U939,Click,C28,Failure
2025-03-10 17:55:47,U682,Complete,N/A,Redirect
2025-03-09 23:09:50,U908,Review,N/A,Failure
2025-03-10 21:25:43,U163,Complete,N/A,Redirect
2025-03-10 12:33:24,U201,Complete,C73,Failure
2025-03-10 05:56:46,U281,Enroll,N/A,Redirect
2025-03-10 13:03:51,U199,Logout,C260,Timeout
2025-03-10 11:47:58,U155,Complete,C281,Success
2025-03-10 09:19:34,U97,Enroll,C500,Failure
2025-03-10 08:33:52,U97,Complete,N/A,Timeout
2025-03-10 04:07:29,U965,Logout,C440,Failure
2025-03-10 08:40:46,U697,Search,N/A,Timeout
2025-03-10 14:15:23,U411,Search,C493,Timeout
2025-03-10 05:53:29,U101,Enroll,N/A,Success
2025-03-10 19:55:35,U439,Click,C274,Failure
2025-03-10 00:14:32,U515,Search,C306,Timeout
2025-03-10 07:50:10,U308,Click,C438,Timeout
2025-03-10 04:12:29,U281,Page Visit,N/A,Failure
2025-03-10 11:25:34,U145,Complete,C305,Redirect
2025-03-10 02:23:52,U693,Search,N/A,Timeout
2025-03-10 00:16:29,U29,Search,C299,Timeout
2025-03-10 19:02:48,U393,Click,N/A,Timeout
2025-03-10 08:57:47,U180,Logout,N/A,Success
2025-03-10 20:52:57,U996,Enroll,C267,Failure
2025-03-10 06:56:11,U268,Page Visit,N/A,Success
2025-03-10 03:46:55,U190,Click,N/A,Failure
2025-03-10 13:58:51,U162,Logout,C104,Timeout
2025-03-10 03:03:50,U337,Complete,C314,Success
2025-03-10 06:39:16,U217,Review,C40,Timeout
2025-03-10 07:47:46,U751,Page Visit,C452,Failure
