user_id,course_id,interaction_type,rating_given
U846,C85,Completed,1.4
U774,C415,Completed,4.3
U430,C350,Viewed,2.5
U501,C155,Viewed,1.5
U848,C12,Enrolled,3.4
U787,C34,Enrolled,1.0
U149,C149,Enrolled,2.9
U257,C340,Viewed,3.4
U970,C384,Enrolled,3.9
U267,C427,Enrolled,4.0
U616,C298,Completed,4.9
U303,C289,Viewed,1.6
U557,C173,Completed,4.3
U700,C332,Enrolled,3.0
U888,C206,Enrolled,3.7
U144,C106,Viewed,2.7
U463,C82,Viewed,1.9
U372,C105,Completed,3.2
U804,C416,Completed,2.8
U38,C229,Completed,1.9
U562,C367,Enrolled,3.2
U544,C111,Viewed,4.0
U17,C214,Viewed,3.8
U34,C262,Completed,3.8
U669,C154,Viewed,2.8
U75,C450,Viewed,2.3
U569,C40,Enrolled,2.8
U529,C409,Completed,1.0
U436,C76,Viewed,4.6
U939,C260,Viewed,1.2
U893,C288,Completed,2.6
U22,C149,Viewed,3.4
U811,C51,Completed,4.0
U744,C268,Viewed,2.3
U517,C325,Completed,3.5
U749,C232,Completed,4.1
U135,C350,Enrolled,3.7
U795,C446,Completed,1.3
U167,C478,Viewed,1.9
U475,C293,Viewed,2.6
U40,C270,Viewed,4.7
U360,C217,Completed,4.8
U929,C260,Completed,3.4
U812,C419,Completed,1.3
U473,C396,Completed,2.1
U96,C340,Completed,3.9
U794,C106,Completed,1.0
U82,C247,Viewed,2.5
U322,C397,Viewed,4.0
U683,C14,Viewed,1.9
U496,C164,Completed,3.2
U675,C205,Enrolled,2.4
U350,C284,Enrolled,2.2
U453,C204,Enrolled,1.5
U304,C225,Viewed,4.3
U212,C434,Enrolled,1.3
U674,C40,Completed,3.3
U261,C226,Enrolled,2.1
U927,C132,Completed,4.1
U634,C166,Enrolled,3.2
U438,C265,Enrolled,4.3
U111,C81,Viewed,3.7
U444,C321,Completed,1.5
U677,C469,Viewed,3.3
U165,C94,Viewed,2.1
U339,C336,Completed,2.6
U738,C119,Completed,2.1
U568,C414,Viewed,3.4
U620,C303,Completed,1.6
U31,C227,Completed,3.0
U593,C439,Enrolled,2.5
U542,C306,Completed,4.9
U873,C441,Viewed,3.8
U208,C85,Enrolled,4.8
U867,C132,Completed,4.2
U820,C498,Viewed,2.3
U534,C325,Enrolled,4.2
U639,C81,Enrolled,1.9
U752,C101,Viewed,4.5
U825,C192,Viewed,2.6
U369,C124,Viewed,4.1
U768,C376,Enrolled,2.3
U913,C133,Completed,4.9
U119,C301,Completed,2.3
U212,C95,Completed,1.9
U52,C157,Enrolled,2.3
U305,C383,Completed,4.8
U419,C400,Completed,4.1
U907,C38,Viewed,2.2
U217,C113,Completed,4.4
U155,C474,Viewed,1.9
U310,C101,Enrolled,1.2
U909,C250,Completed,4.2
U253,C302,Viewed,1.6
U187,C113,Viewed,2.5
U587,C278,Enrolled,3.9
U269,C259,Completed,2.1
U922,C492,Viewed,1.7
U144,C282,Viewed,3.6
U371,C458,Viewed,4.2
U2,C12,Enrolled,2.2
U539,C398,Completed,3.3
U682,C365,Completed,2.8
U325,C65,Completed,1.5
U293,C238,Enrolled,4.0
U720,C303,Enrolled,4.3
U782,C245,Completed,4.8
U941,C112,Enrolled,2.0
U558,C174,Completed,3.0
U113,C42,Completed,4.7
U346,C70,Viewed,4.1
U659,C140,Completed,3.4
U553,C236,Viewed,2.8
U947,C362,Viewed,3.7
U237,C358,Enrolled,1.6
U698,C110,Enrolled,3.3
U346,C190,Viewed,1.9
U339,C139,Viewed,3.8
U656,C86,Enrolled,4.4
U571,C315,Enrolled,3.2
U190,C63,Viewed,3.5
U752,C435,Viewed,2.7
U329,C249,Viewed,4.9
U718,C32,Viewed,4.7
U280,C459,Completed,4.5
U997,C379,Completed,1.5
U902,C100,Viewed,3.2
U174,C116,Completed,1.8
U489,C237,Completed,3.5
U283,C414,Enrolled,4.5
U171,C56,Enrolled,4.5
U349,C385,Completed,4.4
U711,C306,Completed,3.7
U759,C168,Viewed,4.6
U832,C60,Viewed,1.9
U455,C262,Viewed,2.8
U991,C475,Enrolled,1.1
U404,C165,Viewed,4.8
U973,C385,Viewed,1.2
U988,C138,Completed,4.1
U244,C351,Enrolled,1.5
U621,C62,Completed,3.8
U716,C242,Completed,4.1
U559,C59,Completed,2.3
U665,C64,Completed,4.9
U737,C112,Viewed,4.6
U582,C33,Completed,4.7
U728,C301,Enrolled,2.3
U800,C98,Viewed,1.1
U456,C290,Enrolled,1.7
U306,C426,Viewed,1.1
U599,C359,Completed,1.2
U429,C280,Viewed,1.2
U492,C372,Enrolled,3.2
U985,C89,Viewed,3.0
U916,C442,Enrolled,1.2
U968,C183,Enrolled,3.8
U779,C114,Enrolled,3.0
U969,C218,Viewed,2.9
U948,C264,Completed,2.1
U477,C267,Viewed,4.7
U500,C253,Enrolled,3.5
U504,C168,Viewed,2.7
U973,C159,Enrolled,4.5
U496,C82,Completed,3.7
U484,C3,Viewed,4.3
U582,C14,Completed,3.3
U918,C181,Completed,2.2
U730,C498,Completed,1.4
U776,C13,Viewed,3.8
U320,C82,Viewed,3.0
U221,C392,Enrolled,2.0
U671,C241,Enrolled,4.3
U566,C324,Completed,3.9
U970,C136,Viewed,2.4
U871,C490,Completed,3.9
U357,C268,Viewed,3.6
U563,C355,Completed,4.7
U635,C394,Viewed,1.0
U311,C420,Enrolled,3.6
U501,C108,Enrolled,4.0
U681,C65,Completed,1.6
U744,C249,Viewed,1.7
U705,C219,Enrolled,4.0
U693,C286,Enrolled,3.0
U843,C214,Enrolled,3.1
U894,C458,Viewed,1.1
U718,C168,Enrolled,3.0
U355,C382,Viewed,2.6
U421,C459,Completed,3.3
U664,C264,Viewed,2.3
U353,C290,Viewed,1.6
U92,C162,Completed,2.1
U992,C356,Viewed,4.2
U898,C243,Viewed,3.2
U331,C496,Completed,5.0
U861,C361,Enrolled,4.3
U749,C15,Completed,4.8
U171,C179,Viewed,4.0
U631,C405,Enrolled,1.5
U45,C62,Completed,1.3
U212,C138,Completed,4.7
U129,C31,Viewed,2.3
U773,C369,Completed,2.4
U108,C46,Completed,3.2
U201,C324,Completed,2.9
U108,C213,Completed,3.4
U445,C218,Viewed,1.8
U82,C432,Viewed,4.5
U771,C411,Viewed,2.8
U683,C94,Enrolled,4.4
U842,C343,Completed,4.3
U948,C466,Completed,3.4
U103,C471,Completed,2.6
U718,C247,Enrolled,1.4
U102,C14,Enrolled,4.6
U74,C58,Enrolled,4.1
U455,C321,Enrolled,4.2
U101,C459,Viewed,4.0
U462,C253,Completed,1.9
U306,C3,Completed,1.5
U988,C103,Completed,3.1
U157,C394,Completed,4.4
U648,C272,Completed,3.5
U686,C109,Enrolled,2.8
U133,C125,Enrolled,4.0
U625,C350,Viewed,3.8
U372,C143,Enrolled,3.2
U790,C245,Viewed,4.1
U656,C355,Completed,2.6
U55,C114,Completed,2.6
U75,C456,Viewed,3.7
U402,C306,Completed,4.3
U145,C390,Completed,4.7
U866,C2,Completed,3.6
U732,C283,Viewed,3.7
U271,C33,Completed,3.0
U373,C387,Viewed,4.4
U149,C197,Viewed,1.4
U124,C435,Completed,1.6
